date,year,month,period,url,international_arrivals,asia_arrivals,europe_arrivals,americas_arrivals,oceania_arrivals,other_markets_arrivals,international_matched_label,asia_matched_label,europe_matched_label,americas_matched_label,oceania_matched_label,other_markets_matched_label,log_international_arrivals,international_arrivals_mom_growth_pct,international_arrivals_yoy_growth_pct,log_asia_arrivals,asia_arrivals_mom_growth_pct,asia_arrivals_yoy_growth_pct,log_europe_arrivals,europe_arrivals_mom_growth_pct,europe_arrivals_yoy_growth_pct,log_americas_arrivals,americas_arrivals_mom_growth_pct,americas_arrivals_yoy_growth_pct,log_oceania_arrivals,oceania_arrivals_mom_growth_pct,oceania_arrivals_yoy_growth_pct,log_other_markets_arrivals,other_markets_arrivals_mom_growth_pct,other_markets_arrivals_yoy_growth_pct
2012-12-01,2012,12,t12,https://vietnamtourism.gov.vn/statistic/international?year=2012&period=t12,614673,425835.0,74410.0,45523.0,30553.0,38352.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.32884569806512,-6.257120242305558,,12.961807226278552,8.271760631779145,,11.217345620391306,240.7051282051282,,10.725972971725227,24.132195348076245,,10.327218159451137,26.126981505944524,,10.554561956674165,-78.65324887844953,
2013-01-01,2013,1,t1,https://vietnamtourism.gov.vn/statistic/international?year=2013&period=t1,614673,425835.0,74410.0,45523.0,30553.0,38352.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.32884569806512,0.0,,12.961807226278552,0.0,,11.217345620391306,0.0,,10.725972971725227,0.0,,10.327218159451137,0.0,,10.554561956674165,0.0,
2013-02-01,2013,2,t2,https://vietnamtourism.gov.vn/statistic/international?year=2013&period=t2,570476,377951.0,86518.0,55176.0,24780.0,26051.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.254226379038283,-7.190327214632819,-3.8644575064710973,12.842519836569448,-11.244730940387704,5.400378151963547,11.368107763757282,16.27200645074587,314.69587307673874,10.918283355111127,21.204665773345344,27.12778212985576,10.117792155183134,-18.8950348574608,-13.329369381973343,10.167811434160654,-32.07394659991656,-81.64983164983165
2013-03-01,2013,3,t3,https://vietnamtourism.gov.vn/statistic/international?year=2013&period=t3,587366,393438.0,101686.0,47495.0,24739.0,20008.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.283403413878704,2.960685462666257,-13.856880335675491,12.882678774069877,4.097621120198114,4.460239114908449,11.529644912776996,17.531611918907043,137.6229757203281,10.768379721324283,-13.920907641003332,-2.243490789338276,10.116136224757685,-0.1654560129136451,-16.215667016628842,9.903887472557455,-23.196806264634752,-89.14408182089471
2013-04-01,2013,4,t4,https://vietnamtourism.gov.vn/statistic/international?year=2013&period=t4,613919,402606.0,99575.0,46521.0,34003.0,31214.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.327618276602726,4.520690676681993,9.262169478373373,12.905713695206435,2.3302273801717233,34.02285611565874,11.508666408049844,-2.0759986625494165,140.58324675638457,10.747659102532259,-2.0507421833877215,26.1586440677966,10.434204034999912,37.446946117466354,46.48888505945201,10.3486219911025,56.00759696121551,-80.49125000000001
2013-05-01,2013,5,t5,https://vietnamtourism.gov.vn/statistic/international?year=2013&period=t5,558751,387869.0,72500.0,36441.0,23873.0,38068.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.233459214617486,-8.98620176277326,-9.878870967741937,12.868422932729974,-3.660402477856761,16.476827396914718,11.191341840842766,-27.190559879487818,70.95830975287683,10.50344979336838,-21.667633971754697,-14.457746478873235,10.080503392206552,-29.79148898626591,-13.49422038627387,10.547129313192235,21.95809572627667,-78.1712673601156
2013-06-01,2013,6,t6,https://vietnamtourism.gov.vn/statistic/international?year=2013&period=t6,567291,391279.0,56341.0,44868.0,22772.0,52031.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.24862767856692,1.5284088977022048,-7.835937893466205,12.877176139495395,0.8791628101240345,38.99490597003261,10.939177790651616,-22.288275862068964,97.79182025627524,10.711480124765114,23.125051453033674,43.82152130012502,10.033286990070973,-4.611904662170652,18.826967230223346,10.859594973780608,36.67910055689818,-46.02425386682158
2013-07-01,2013,7,t7,https://vietnamtourism.gov.vn/statistic/international?year=2013&period=t7,2031519,1473651.0,360968.0,111295.0,80044.0,127109.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,14.524294347061236,258.10880130303497,386.67414099164165,14.203253553004819,276.6240968720529,467.12694106101713,12.796544590726745,540.6844038976944,3679.373887551042,11.61993961262471,148.04983507176607,206.61468951457383,11.290331762461454,251.50184437027926,313.36500722991116,11.752800265056132,144.29474736214948,37.60704117093028
2013-08-01,2013,8,t8,https://vietnamtourism.gov.vn/statistic/international?year=2013&period=t8,676719,467948.0,95388.0,36817.0,24911.0,51655.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.425011399260763,-66.68901447635982,45.21866952789699,13.056112457615376,-68.24567010777993,68.24068281669075,11.465708063361113,-73.574388865495,512.0893223819302,10.513714974009698,-66.91944831304191,7.119581029967992,10.123064751970729,-68.878366898206,20.6752894443637,10.852342275283545,-59.36165023719799,-55.948695644758274
2013-09-01,2013,9,t9,https://vietnamtourism.gov.vn/statistic/international?year=2013&period=t9,614827,438156.0,64123.0,34882.0,27031.0,50635.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.329096206403152,-9.145893642708424,17.044805555767084,12.990330290330666,-6.366519356851619,34.91727711934081,11.06855839290286,-32.77665953788736,205.4494355261278,10.459726215828614,-5.255724257815686,13.989738897421656,10.204739634516608,8.510296656095706,36.107754279959714,10.832398315766385,-1.9746394347110674,-60.77208531209569
2013-10-01,2013,10,t10,https://vietnamtourism.gov.vn/statistic/international?year=2013&period=t10,628695,384494.0,78231.0,38799.0,2924.0,124247.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.351401521420806,2.255593849977311,36.60214932274171,12.859683463124677,-12.247236144204344,32.73014108622934,11.267421267417317,22.001465932660658,647.191977077364,10.566149752083353,11.229287311507363,34.192231868017856,7.980707820869669,-89.18279012985091,-86.82348699923392,11.730026798798168,145.37770316974425,14.005854124037697
2013-11-01,2013,11,t11,https://vietnamtourism.gov.vn/statistic/international?year=2013&period=t11,731034,485625.0,118248.0,47186.0,25879.0,54096.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.50221524927819,16.278004437763947,11.488925592610055,13.093192000104048,26.302361025139543,23.473819100843627,11.680539392891909,51.15235648272425,441.42857142857144,10.761852517406659,21.6165365086729,28.666866632127185,10.161187107991946,785.0547195622435,6.832067371202122,10.898515524947667,-56.460920585607695,-69.89012701628614
2013-12-01,2013,12,t12,https://vietnamtourism.gov.vn/statistic/international?year=2013&period=t12,722349,481986.0,99271.0,45474.0,31955.0,63663.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.490263680586112,-1.1880432373870486,17.517606922705255,13.08567034696775,-0.749343629343624,13.186093205114657,11.505608763069848,-16.04847439280157,33.41083187743583,10.724896013040084,-3.6281948035434275,-0.10763789732662898,10.372083942084382,23.478496077901,4.588747422511696,11.061358825079159,17.68522626441882,65.99655819774719
2014-01-01,2014,1,t1,https://vietnamtourism.gov.vn/statistic/international?year=2014&period=t1,722349,481986.0,99271.0,45474.0,31955.0,63663.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.490263680586112,0.0,17.517606922705255,13.08567034696775,0.0,13.186093205114657,11.505608763069848,0.0,33.41083187743583,10.724896013040084,0.0,-0.10763789732662898,10.372083942084382,0.0,4.588747422511696,11.061358825079159,0.0,65.99655819774719
2014-02-01,2014,2,t2,https://vietnamtourism.gov.vn/statistic/international?year=2014&period=t2,842026,549236.0,128059.0,64333.0,28885.0,71513.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.64356617160758,16.56775326054303,47.600600200534295,13.216283500618403,13.952687422456256,45.319366796224905,11.760246374202698,28.999405667314715,48.014286044522535,11.071827997858339,41.472049962616,16.595983761055532,10.271077708215365,-9.607260209669843,16.565778853914438,11.177634530336995,12.330553068501327,174.5115350658324
2014-03-01,2014,3,t3,https://vietnamtourism.gov.vn/statistic/international?year=2014&period=t3,709725,477069.0,123395.0,47949.0,24315.0,36997.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.472632850044542,-15.712222662958153,20.83181525658617,13.075416413497134,-13.139524721613293,21.256462263431587,11.723145870993948,-3.642071232791133,21.34905493381587,10.777893225036763,-25.46748946885735,0.9558900936940784,10.098848722837886,-15.821360567768739,-1.7138930433728161,10.518592107258032,-48.265350355879356,84.91103558576569
