parameter,estimate,alpha_plus_beta,standard_error,t_statistic,p_value,ci_lower,ci_upper,log_likelihood,AIC,BIC
omega,0.685239644465208,0.9999999999999964,0.19736963577350405,3.471859497433385,0.000516866774458374,0.2984022667073518,1.0720770222230642,-243.57604961577408,493.15209923154816,501.8005049993073
alpha[1],0.9999319822305641,0.9999999999999964,0.3778692470682059,2.64623805718192,0.00813925146861674,0.2593218671116131,1.7405420973495151,-243.57604961577408,493.15209923154816,501.8005049993073
beta[1],6.801776943236058e-05,0.9999999999999964,6.750377745496444e-05,1.0076142698494028,0.3136396757054595,-6.42872031997766e-05,0.00020032274206449775,-243.57604961577408,493.15209923154816,501.8005049993073
