target,model,status,MAE,RMSE,MAPE,sMAPE
asia_arrivals,Holt-Winters,ok,7328971.933676061,11749811.730070107,521.5033594006901,103.57207863173636
asia_arrivals,SARIMA,ok,560118.0659782107,631948.9754262168,44.195951477536624,59.29928711314577
asia_arrivals,SARIMA-GARCH,ok,560118.0659782107,631948.9754262168,44.195951477536624,59.29928711314577
europe_arrivals,Holt-Winters,ok,57827.95953765788,76346.3581912554,25.885483958452916,32.191905827969144
europe_arrivals,SARIMA,ok,94245.83177026137,118576.97321974904,44.53055481686378,63.21889644973792
europe_arrivals,SARIMA-GARCH,ok,94245.83177026137,118576.97321974904,44.53055481686378,63.21889644973792
americas_arrivals,Holt-Winters,ok,2539485.910184403,4169062.0918766595,2748.348072902434,148.22171998583656
americas_arrivals,SARIMA,ok,337475.12247282383,394276.07106654625,397.0687780858245,119.3812351222358
americas_arrivals,SARIMA-GARCH,ok,337475.12247282383,394276.07106654625,397.0687780858245,119.3812351222358
oceania_arrivals,Holt-Winters,ok,20391.876111790425,22208.804166539616,46.164117665592094,61.75999202983186
oceania_arrivals,SARIMA,ok,23506.78898363528,25447.373283021905,53.51935516777752,75.45072477770692
oceania_arrivals,SARIMA-GARCH,ok,23506.78898363528,25447.373283021905,53.51935516777752,75.45072477770692
other_markets_arrivals,Holt-Winters,ok,2816.8893583047784,3064.0103881967534,73.55710121699401,121.93532551131466
other_markets_arrivals,SARIMA,ok,1811.4277916053964,2033.8408219143664,45.93632401204222,62.13306584659809
other_markets_arrivals,SARIMA-GARCH,ok,1811.4277916053964,2033.8408219143664,45.93632401204222,62.13306584659809
