date,target,model,actual,forecast,lower,upper
2025-04-01,international_arrivals,SARIMA,2007756,793144.834260556,65124.377010175966,9659650.61003052
2025-05-01,international_arrivals,SARIMA,1962704,793144.834260556,62255.04147964559,10104864.010409238
2025-06-01,international_arrivals,SARIMA,1916151,793144.834260556,59558.808113583254,10562312.242959967
2025-07-01,international_arrivals,SARIMA,1871100,793144.834260556,57021.78579345667,11032252.311298056
2025-08-01,international_arrivals,SARIMA,1824547,793144.834260556,54631.50844632186,11514943.409119038
2025-09-01,international_arrivals,SARIMA,1777993,793144.834260556,52376.755442919195,12010647.142887335
2025-10-01,international_arrivals,SARIMA,1732942,793144.834260556,50247.39886659885,12519627.728080766
2025-11-01,international_arrivals,SARIMA,1879647,793144.834260556,48234.2730111761,13042152.16363774
2025-12-01,international_arrivals,SARIMA,2021619,793144.834260556,46329.06237162633,13578490.388345858
2023-01-01,international_arrivals,SARIMA-GARCH,850987,793144.834260556,639552.3495902142,983623.511847435
2023-02-01,international_arrivals,SARIMA-GARCH,932969,793144.834260556,605749.6682449935,1038512.7076285514
2023-03-01,international_arrivals,SARIMA-GARCH,927711,793144.834260556,579057.7394458388,1086383.421308273
2023-04-01,international_arrivals,SARIMA-GARCH,921890,793144.834260556,556701.38207102,1130011.0766277055
2023-05-01,international_arrivals,SARIMA-GARCH,916257,793144.834260556,537332.3750664904,1170744.1377161792
2023-06-01,international_arrivals,SARIMA-GARCH,975010,793144.834260556,520175.9224918932,1209357.6440459122
2023-07-01,international_arrivals,SARIMA-GARCH,1038563,793144.834260556,504738.82177506766,1246345.042178167
2023-08-01,international_arrivals,SARIMA-GARCH,1217421,793144.834260556,490684.5332784161,1282043.1161975581
2023-09-01,international_arrivals,SARIMA-GARCH,1054449,793144.834260556,477771.5230149983,1316693.6449966207
2023-10-01,international_arrivals,SARIMA-GARCH,1112526,793144.834260556,465819.64738745283,1350477.0175375596
2023-11-01,international_arrivals,SARIMA-GARCH,1233371,793144.834260556,454690.41719180543,1383531.968849117
2023-12-01,international_arrivals,SARIMA-GARCH,1371135,793144.834260556,444274.72476498527,1415967.8528797205
2024-01-01,international_arrivals,SARIMA-GARCH,1451273,793144.834260556,434484.8527953683,1447872.6336876135
2024-02-01,international_arrivals,SARIMA-GARCH,1531411,793144.834260556,425249.0710985445,1479318.2886657647
2024-03-01,international_arrivals,SARIMA-GARCH,1599074,793144.834260556,416507.8663349117,1510364.5788249439
2024-04-01,international_arrivals,SARIMA-GARCH,1556533,793144.834260556,408211.2399134067,1541061.7508906678
2024-05-01,international_arrivals,SARIMA-GARCH,1383703,793144.834260556,400316.72644864867,1571452.5188467265
2024-06-01,international_arrivals,SARIMA-GARCH,1249237,793144.834260556,392787.911326198,1601573.5463706134
2024-07-01,international_arrivals,SARIMA-GARCH,1346404,793144.834260556,385593.3020669256,1631456.5754698163
2024-08-01,international_arrivals,SARIMA-GARCH,1446809,793144.834260556,378705.45563630183,1661129.2991732198
2024-09-01,international_arrivals,SARIMA-GARCH,1274804,793144.834260556,372100.29427709524,1690616.045699075
2024-10-01,international_arrivals,SARIMA-GARCH,1419833,793144.834260556,365756.56245800084,1719938.3215070567
2024-11-01,international_arrivals,SARIMA-GARCH,1586220,793144.834260556,359655.3909915693,1749115.2471810195
2024-12-01,international_arrivals,SARIMA-GARCH,1747240,793144.834260556,353779.94361209666,1778163.9108517712
2025-01-01,international_arrivals,SARIMA-GARCH,1853008,793144.834260556,348115.12775910075,1807099.6574142962
2025-02-01,international_arrivals,SARIMA-GARCH,1958776,793144.834260556,342647.355897587,1835936.3272081653
2025-03-01,international_arrivals,SARIMA-GARCH,2054309,793144.834260556,337364.3470129854,1864686.4545232793
2025-04-01,international_arrivals,SARIMA-GARCH,2007756,793144.834260556,332254.96033607627,1893361.433875633
2025-05-01,international_arrivals,SARIMA-GARCH,1962704,793144.834260556,327309.055142941,1921971.660208045
2025-06-01,international_arrivals,SARIMA-GARCH,1916151,793144.834260556,322517.3718154242,1950526.647830384
2025-07-01,international_arrivals,SARIMA-GARCH,1871100,793144.834260556,317871.43036241905,1979035.131898972
2025-08-01,international_arrivals,SARIMA-GARCH,1824547,793144.834260556,313363.4433782624,2007505.1554588682
2025-09-01,international_arrivals,SARIMA-GARCH,1777993,793144.834260556,308986.24101338355,2035944.1444739178
2025-10-01,international_arrivals,SARIMA-GARCH,1732942,793144.834260556,304733.20599855797,2064358.9728031866
2025-11-01,international_arrivals,SARIMA-GARCH,1879647,793144.834260556,300598.21712996316,2092756.018716584
2025-12-01,international_arrivals,SARIMA-GARCH,2021619,793144.834260556,296575.59991152136,2121141.2142532314
2023-01-01,international_arrivals,XGBoost,850987,746549.8125,714694.2181329163,778405.4068670837
2023-02-01,international_arrivals,XGBoost,932969,750357.6875,718502.0931329163,782213.2818670837
2023-03-01,international_arrivals,XGBoost,927711,755985.625,724130.0306329163,787841.2193670837
2023-04-01,international_arrivals,XGBoost,921890,751515.8125,719660.2181329163,783371.4068670837
2023-05-01,international_arrivals,XGBoost,916257,739998.875,708143.2806329163,771854.4693670837
2023-06-01,international_arrivals,XGBoost,975010,743744.9375,711889.3431329163,775600.5318670837
2023-07-01,international_arrivals,XGBoost,1038563,734992.6875,703137.0931329163,766848.2818670837
2023-08-01,international_arrivals,XGBoost,1217421,739069.9375,707214.3431329163,770925.5318670837
2023-09-01,international_arrivals,XGBoost,1054449,735869.3125,704013.7181329163,767724.9068670837
2023-10-01,international_arrivals,XGBoost,1112526,798230.6875,766375.0931329163,830086.2818670837
2023-11-01,international_arrivals,XGBoost,1233371,860855.375,828999.7806329163,892710.9693670837
2023-12-01,international_arrivals,XGBoost,1371135,953419.3125,921563.7181329163,985274.9068670837
2024-01-01,international_arrivals,XGBoost,1451273,1008042.0,976186.4056329163,1039897.5943670837
2024-02-01,international_arrivals,XGBoost,1531411,1067167.0,1035311.4056329163,1099022.5943670839
2024-03-01,international_arrivals,XGBoost,1599074,1081529.125,1049673.5306329161,1113384.7193670839
2024-04-01,international_arrivals,XGBoost,1556533,1062895.625,1031040.0306329163,1094751.2193670839
2024-05-01,international_arrivals,XGBoost,1383703,1039041.5625,1007185.9681329163,1070897.1568670839
2024-06-01,international_arrivals,XGBoost,1249237,1046571.75,1014716.1556329163,1078427.3443670839
2024-07-01,international_arrivals,XGBoost,1346404,1060264.875,1028409.2806329163,1092120.4693670839
2024-08-01,international_arrivals,XGBoost,1446809,1070717.375,1038861.7806329163,1102572.9693670839
2024-09-01,international_arrivals,XGBoost,1274804,1091097.875,1059242.2806329161,1122953.4693670839
2024-10-01,international_arrivals,XGBoost,1419833,1090250.25,1058394.6556329161,1122105.8443670839
2024-11-01,international_arrivals,XGBoost,1586220,1187724.0,1155868.4056329161,1219579.5943670839
2024-12-01,international_arrivals,XGBoost,1747240,1254157.875,1222302.2806329161,1286013.4693670839
2025-01-01,international_arrivals,XGBoost,1853008,1101644.875,1069789.2806329161,1133500.4693670839
2025-02-01,international_arrivals,XGBoost,1958776,1274177.0,1242321.4056329161,1306032.5943670839
2025-03-01,international_arrivals,XGBoost,2054309,1080756.75,1048901.1556329161,1112612.3443670839
2025-04-01,international_arrivals,XGBoost,2007756,1208147.0,1176291.4056329161,1240002.5943670839
2025-05-01,international_arrivals,XGBoost,1962704,1222405.875,1190550.2806329161,1254261.4693670839
2025-06-01,international_arrivals,XGBoost,1916151,1204138.875,1172283.2806329161,1235994.4693670839
2025-07-01,international_arrivals,XGBoost,1871100,1248946.625,1217091.0306329161,1280802.2193670839
2025-08-01,international_arrivals,XGBoost,1824547,1092480.75,1060625.1556329161,1124336.3443670839
2025-09-01,international_arrivals,XGBoost,1777993,1225328.625,1193473.0306329161,1257184.2193670839
2025-10-01,international_arrivals,XGBoost,1732942,1234330.75,1202475.1556329161,1266186.3443670839
2025-11-01,international_arrivals,XGBoost,1879647,1294620.875,1262765.2806329161,1326476.4693670839
2025-12-01,international_arrivals,XGBoost,2021619,1433719.75,1401864.1556329161,1465575.3443670839
