target,model,status,MAE,RMSE,MAPE,sMAPE
americas_arrivals,SARIMA,ok,337475.12247282383,394276.0710665463,397.0687780858245,119.3812351222358
asia_arrivals,SARIMA,ok,560118.0659782107,631948.9754262168,44.195951477536624,59.29928711314577
europe_arrivals,Holt-Winters,ok,57827.95953765788,76346.3581912554,25.88548395845292,32.191905827969144
oceania_arrivals,Holt-Winters,ok,20391.876111790425,22208.804166539616,46.164117665592094,61.75999202983186
other_markets_arrivals,SARIMA,ok,1811.4277916053964,2033.8408219143664,45.93632401204222,62.13306584659809
