order,seasonal_order,log_likelihood,AIC,BIC,coefficient,estimate,standard_error,z_statistic,p_value,ci_lower,ci_upper
"(0, 1, 1)","(0, 0, 0, 12)",45.29274456664599,-86.58548913329199,-80.86586432456865,ma.L1,0.4283797418989283,0.04580937297853324,9.351355717085925,8.653136490632179e-21,0.3385950207066408,0.5181644630912158
"(0, 1, 1)","(0, 0, 0, 12)",45.29274456664599,-86.58548913329199,-80.86586432456865,sigma2,0.029001323521685822,0.001576136744638149,18.400258493017986,1.307396164997082e-75,0.025912152267484848,0.032090494775886796
