date,year,month,international_arrivals,asia_arrivals,europe_arrivals,americas_arrivals,oceania_arrivals,other_markets_arrivals,was_imputed,quality_flag,covid_period,recovery_period,log_international_arrivals,international_arrivals_mom_growth_pct,international_arrivals_yoy_growth_pct,log_asia_arrivals,asia_arrivals_mom_growth_pct,asia_arrivals_yoy_growth_pct,log_europe_arrivals,europe_arrivals_mom_growth_pct,europe_arrivals_yoy_growth_pct,log_americas_arrivals,americas_arrivals_mom_growth_pct,americas_arrivals_yoy_growth_pct,log_oceania_arrivals,oceania_arrivals_mom_growth_pct,oceania_arrivals_yoy_growth_pct,log_other_markets_arrivals,other_markets_arrivals_mom_growth_pct,other_markets_arrivals_yoy_growth_pct
2012-01-01,2012,1,593408,358586,20863,43402,28591,141966,False,observed,0,0,13.29363746837926,,,12.789923798677174,,,9.945732534129874,,,10.678260801976018,,,10.260847261969445,,,11.863342871294156,,
2012-02-01,2012,2,681849,376639,42793,48585,29527,184305,False,observed,0,0,13.432563504686678,14.90391096850734,,12.839042447995299,5.034496606114014,,10.66412981679203,105.1143172122897,,10.79107012027354,11.941845997880286,,10.293060377975431,3.273757476128858,,12.124347272969782,29.823337982333808,
2012-03-01,2012,3,561877,300401,41389,36875,23212,160000,False,observed,0,0,13.239038243712255,-17.595098034902158,,12.612873527761383,-20.241663768223685,,10.630770424025688,-3.2809104292758184,,10.51528909364212,-24.102089122157043,,10.052424665310498,-21.387204931080028,,11.982929094215963,-13.187379615311578,
2012-04-01,2012,4,620000,333001,42408,42600,27597,174394,False,observed,0,0,13.337474757021274,10.344434814025139,,12.715900771961074,10.85216094487036,,10.655092302667642,2.462006813404538,,10.659609532257463,15.525423728813559,,10.225462350145268,18.891090815095634,,12.069072386195472,8.996249999999995,
2012-05-01,2012,5,520375,297023,26249,39501,23548,134055,True,segment_reconciliation,0,0,13.162304984497277,-16.06854838709677,,12.601564855863872,-10.804171759243964,,10.175383172056032,-38.10365968685153,,10.584081267024454,-7.274647887323948,,10.066796170148152,-14.671884625140418,,11.806005442483603,-23.13095634024106,
2012-06-01,2012,6,417429,259845,9551,36298,19364,92371,False,observed,0,0,12.941869748930987,-19.78304107614701,,12.467840578381152,-12.516875797497162,,9.164401140034737,-63.613851956265,,10.499517922316345,-8.108655477076532,,9.871170951059584,-17.7679633089859,,11.43356835555382,-31.094699936593184,
2012-07-01,2012,7,466000,278142,15584,34370,20643,117261,False,observed,0,0,13.051940913107783,11.635751229550406,,12.535887053630177,7.041505512901924,,9.654000025882317,63.1661606114543,,10.44493936984388,-5.311587415284591,,9.935131557870589,6.605040280933694,,11.672157498539152,26.945686416732517,
2012-08-01,2012,8,525292,324759,20993,30601,19860,129079,False,observed,0,0,13.171709577433356,12.7236051502146,,12.690838647774697,16.760144099057307,,9.951944327804322,34.708675564681734,,10.328787967145063,-10.965958684899624,,9.896462937599164,-3.793053335271035,,11.768179899002329,10.078372178303097,
2012-09-01,2012,9,460238,289681,10470,28913,22191,108983,False,observed,0,0,13.039499025968894,-12.384350037693325,,12.576535596518625,-10.801240304348758,,9.256269303864583,-50.126232553708384,,10.272046599948313,-5.5161596026273685,,10.007442080255977,11.737160120845914,,11.598947185744988,-15.568760216611533,
2012-10-01,2012,10,556367,340642,16062,32729,23191,143743,True,segment_reconciliation,0,0,13.229183427423497,20.88680204589799,,12.73858735141115,17.592109941625434,,9.684211512748407,53.409742120343836,,10.396016814019003,13.198215335662166,,10.05151955135521,4.50633139561083,,11.875782261821751,31.89488268812568,
2012-11-01,2012,11,655701,393302,21840,36673,24224,179662,False,observed,0,0,13.39346017133824,17.85404238569146,,12.882333043583682,15.459044979773484,,9.991498429858842,35.97310422114306,,10.509796068463533,12.05047511381343,,10.095099156237175,4.4543141736018255,,12.09883258685972,24.988347258649114,
2012-12-01,2012,12,614673,425835,74410,45523,30553,38352,False,observed,0,0,13.32884569806512,-6.257120242305558,,12.961807226278552,8.271760631779145,,11.217345620391306,240.7051282051282,,10.725972971725227,24.132195348076245,,10.327218159451137,26.126981505944524,,10.554561956674165,-78.65324887844953,
2013-01-01,2013,1,592574,401893,80464,50350,27666,32202,True,stale_repeated_vector,0,0,13.29223103870752,-3.5952449513806495,-0.14054411130284272,12.903941163017633,-5.6223654701938575,12.077158617458572,11.295565158411746,8.136003225372935,285.67799453578107,10.826753898146709,10.603431232563754,16.00847887194139,10.22795950143476,-9.449153929237719,-3.2352838305760523,10.379783841404883,-16.035669586983726,-77.31710409534678
2013-02-01,2013,2,570476,377951,86518,55176,24780,26051,False,observed,0,0,13.254226379038283,-3.729154502222509,-16.33396837129628,12.842519836569448,-5.957307044412319,0.34834417041251786,11.368107763757282,7.523861602704307,102.17792629635687,10.918283355111127,9.584905660377352,13.565915405989504,10.117792155183134,-10.431576664497943,-16.076811054289298,10.167811434160654,-19.101298056021363,-85.86527766474052
2013-03-01,2013,3,587366,393438,101686,47495,24739,20008,False,observed,0,0,13.283403413878704,2.960685462666257,4.536402095120473,12.882678774069877,4.097621120198114,30.970935516193364,11.529644912776996,17.531611918907043,145.68363574862886,10.768379721324283,-13.920907641003332,28.800000000000004,10.116136224757685,-0.1654560129136451,6.578493882474579,9.903887472557455,-23.196806264634752,-87.495
2013-04-01,2013,4,613919,402606,99575,46521,34003,31214,False,observed,0,0,13.327618276602726,4.520690676681993,-0.9808064516129034,12.905713695206435,2.3302273801717233,20.90233963261372,11.508666408049844,-2.0759986625494165,134.8023957743822,10.747659102532259,-2.0507421833877215,9.204225352112672,10.434204034999912,37.446946117466354,23.212668043627936,10.3486219911025,56.00759696121551,-82.1014484443272
2013-05-01,2013,5,558751,387869,72500,36441,23873,38068,False,observed,0,0,13.233459214617486,-8.98620176277326,7.374681719913534,12.868422932729974,-3.660402477856761,30.585510213013812,11.191341840842766,-27.190559879487818,176.20099813326223,10.50344979336838,-21.667633971754697,-7.74663932558669,10.080503392206552,-29.79148898626591,1.3801596738576505,10.547129313192235,21.95809572627667,-71.60270038417067
2013-06-01,2013,6,567291,391279,56341,44868,22772,52031,False,observed,0,0,13.24862767856692,1.5284088977022048,35.90119517331092,12.877176139495395,0.8791628101240345,50.58169293232504,10.939177790651616,-22.288275862068964,489.8963459323631,10.711480124765114,23.125051453033674,23.610116259849036,10.033286990070973,-4.611904662170652,17.59966948977485,10.859594973780608,36.67910055689818,-43.671715148693856
